,strategy,decks,penetration,seventeen,BJ_payout,-1_count_bet,-1_count_spot,0_count_bet,0_count_spot,1_count_bet,1_count_spot,2_count_bet,2_count_spot,3_count_bet,3_count_spot,4_count_bet,4_count_spot,5_count_bet,5_count_spot,6_count_bet,6_count_spot,probability_of_winning,expected_value,prob_of_winning_on_pos_count,expected_value_on_pos_count,fifth_percentile_loss
65,counter,4,1.5,S17,"[6, 5]",1,1,1,1,1,1,4,1,6,1,8,1,10,1,12,1,0.526559,0.011545399999999999,0.5335338797077753,0.04563201350763748,-1312.5999999996711
66,counter,4,1.5,H17,"[3, 2]",1,1,1,1,1,1,4,1,6,1,8,1,10,1,12,1,0.525015,0.007274399999999994,0.5328176576062594,0.03971636986022249,-1268.6000000002177
67,counter,4,1.5,H17,"[6, 5]",1,1,1,1,1,1,4,1,6,1,8,1,10,1,12,1,0.525015,0.007274399999999994,0.5328176576062594,0.03971636986022249,-1268.6000000002177
68,counter,4,2.0,S17,"[3, 2]",1,1,1,1,1,1,4,1,6,1,8,1,10,1,12,1,0.525578,0.0024269999999999904,0.5312566258586386,0.02478165526655919,-1512.4099999999746
69,counter,4,2.0,S17,"[6, 5]",1,1,1,1,1,1,4,1,6,1,8,1,10,1,12,1,0.525578,0.0024269999999999904,0.5312566258586386,0.02478165526655919,-1512.4099999999746
70,counter,4,2.0,H17,"[3, 2]",1,1,1,1,1,1,4,1,6,1,8,1,10,1,12,1,0.524632,0.0029537999999999904,0.5311165548130862,0.03044717273768282,-1269.7999999999527
71,counter,4,2.0,H17,"[6, 5]",1,1,1,1,1,1,4,1,6,1,8,1,10,1,12,1,0.524632,0.0029537999999999904,0.5311165548130862,0.03044717273768282,-1269.7999999999527
72,counter,6,0.5,S17,"[3, 2]",1,1,1,1,1,1,4,1,6,1,8,1,10,1,12,1,0.528265,0.03139679999999998,0.5361352745328227,0.08953109062566156,-990.5999999985601
73,counter,6,0.5,S17,"[6, 5]",1,1,1,1,1,1,4,1,6,1,8,1,10,1,12,1,0.528265,0.03139679999999998,0.5361352745328227,0.08953109062566156,-990.5999999985601
74,counter,6,0.5,H17,"[3, 2]",1,1,1,1,1,1,4,1,6,1,8,1,10,1,12,1,0.527513,0.026841199999999992,0.5356102567562033,0.08046971182687931,-1216.9999999996185
75,counter,6,0.5,H17,"[6, 5]",1,1,1,1,1,1,4,1,6,1,8,1,10,1,12,1,0.527513,0.026841199999999992,0.5356102567562033,0.08046971182687931,-1216.9999999996185
76,counter,6,1.0,S17,"[3, 2]",1,1,1,1,1,1,4,1,6,1,8,1,10,1,12,1,0.527133,0.018104199999999997,0.5343349311642381,0.06052419243347048,-996.5999999995025
77,counter,6,1.0,S17,"[6, 5]",1,1,1,1,1,1,4,1,6,1,8,1,10,1,12,1,0.527133,0.018104199999999997,0.5343349311642381,0.06052419243347048,-996.5999999995025
78,counter,6,1.0,H17,"[3, 2]",1,1,1,1,1,1,4,1,6,1,8,1,10,1,12,1,0.526309,0.015614600000000006,0.5335831600988569,0.05681553925837189,-1849.4100000002807
79,counter,6,1.0,H17,"[6, 5]",1,1,1,1,1,1,4,1,6,1,8,1,10,1,12,1,0.526309,0.015614600000000006,0.5335831600988569,0.05681553925837189,-1849.4100000002807
80,counter,6,1.5,S17,"[3, 2]",1,1,1,1,1,1,4,1,6,1,8,1,10,1,12,1,0.52638,0.008835799999999991,0.533078267237828,0.04048765909097027,-1179.6000000001238
81,counter,6,1.5,S17,"[6, 5]",1,1,1,1,1,1,4,1,6,1,8,1,10,1,12,1,0.52638,0.008835799999999991,0.533078267237828,0.04048765909097027,-1179.6000000001238
82,counter,6,1.5,H17,"[3, 2]",1,1,1,1,1,1,4,1,6,1,8,1,10,1,12,1,0.525549,0.010509799999999996,0.5322633651737756,0.04743848760593276,-1111.4099999991217
83,counter,6,1.5,H17,"[6, 5]",1,1,1,1,1,1,4,1,6,1,8,1,10,1,12,1,0.525549,0.010509799999999996,0.5322633651737756,0.04743848760593276,-1111.4099999991217
84,counter,6,2.0,S17,"[3, 2]",1,1,1,1,1,1,4,1,6,1,8,1,10,1,12,1,0.525911,0.00811519999999999,0.5327736677840712,0.042298578199052125,-1063.4000000002725
85,counter,6,2.0,S17,"[6, 5]",1,1,1,1,1,1,4,1,6,1,8,1,10,1,12,1,0.525911,0.00811519999999999,0.5327736677840712,0.042298578199052125,-1063.4000000002725
86,counter,6,2.0,H17,"[3, 2]",1,1,1,1,1,1,4,1,6,1,8,1,10,1,12,1,0.525036,0.006396399999999993,0.5322248632748602,0.04025697667348965,-1102.399999999938
87,counter,6,2.0,H17,"[6, 5]",1,1,1,1,1,1,4,1,6,1,8,1,10,1,12,1,0.525036,0.006396399999999993,0.5322248632748602,0.04025697667348965,-1102.399999999938
88,counter,2,0.5,S17,"[3, 2]",1,1,1,1,2,2,6,2,10,2,13,2,17,2,20,2,0.550823,0.2329072,0.5842717926260956,0.5167171027261616,-1957.5999999947935
89,counter,2,0.5,S17,"[6, 5]",1,1,1,1,2,2,6,2,10,2,13,2,17,2,20,2,0.550823,0.2329072,0.5842717926260956,0.5167171027261616,-1957.5999999947935
90,counter,2,0.5,H17,"[3, 2]",1,1,1,1,2,2,6,2,10,2,13,2,17,2,20,2,0.549536,0.22714069999999997,0.5828357932413021,0.5059744047502273,-1949.5149999954906
91,counter,2,0.5,H17,"[6, 5]",1,1,1,1,2,2,6,2,10,2,13,2,17,2,20,2,0.549536,0.22714069999999997,0.5828357932413021,0.5059744047502273,-1949.5149999954906
92,counter,2,1.0,S17,"[3, 2]",1,1,1,1,2,2,6,2,10,2,13,2,17,2,20,2,0.545372,0.09250669999999996,0.5808137374388346,0.2517729206350032,-2231.2350000008887
93,counter,2,1.0,S17,"[6, 5]",1,1,1,1,2,2,6,2,10,2,13,2,17,2,20,2,0.545372,0.09250669999999996,0.5808137374388346,0.2517729206350032,-2231.2350000008887
94,counter,2,1.0,H17,"[3, 2]",1,1,1,1,2,2,6,2,10,2,13,2,17,2,20,2,0.543895,0.07216850000000004,0.5787110612528954,0.2002666895183489,-3371.679999998091
95,counter,2,1.0,H17,"[6, 5]",1,1,1,1,2,2,6,2,10,2,13,2,17,2,20,2,0.543895,0.07216850000000004,0.5787110612528954,0.2002666895183489,-3371.679999998091
96,counter,2,1.5,S17,"[3, 2]",1,1,1,1,2,2,6,2,10,2,13,2,17,2,20,2,0.53657,0.023688799999999996,0.5779019798434543,0.11634521921522485,-1409.399999999505
97,counter,2,1.5,S17,"[6, 5]",1,1,1,1,2,2,6,2,10,2,13,2,17,2,20,2,0.53657,0.023688799999999996,0.5779019798434543,0.11634521921522485,-1409.399999999505
98,counter,2,1.5,H17,"[3, 2]",1,1,1,1,2,2,6,2,10,2,13,2,17,2,20,2,0.535372,0.019429599999999998,0.5764721397394774,0.10372150800200795,-1747.2999999981073
99,counter,2,1.5,H17,"[6, 5]",1,1,1,1,2,2,6,2,10,2,13,2,17,2,20,2,0.535372,0.019429599999999998,0.5764721397394774,0.10372150800200795,-1747.2999999981073
100,counter,4,0.5,S17,"[3, 2]",1,1,1,1,2,2,6,2,10,2,13,2,17,2,20,2,0.54444,0.11719410000000001,0.5810097593995492,0.3217040954206294,-3008.2000000007497
101,counter,4,0.5,S17,"[6, 5]",1,1,1,1,2,2,6,2,10,2,13,2,17,2,20,2,0.54444,0.11719410000000001,0.5810097593995492,0.3217040954206294,-3008.2000000007497
102,counter,4,0.5,H17,"[3, 2]",1,1,1,1,2,2,6,2,10,2,13,2,17,2,20,2,0.543929,0.14121550000000005,0.5802066029900332,0.3845854962624586,-2552.9100000046133
103,counter,4,0.5,H17,"[6, 5]",1,1,1,1,2,2,6,2,10,2,13,2,17,2,20,2,0.543929,0.14121550000000005,0.5802066029900332,0.3845854962624586,-2552.9100000046133
104,counter,4,1.0,S17,"[3, 2]",1,1,1,1,2,2,6,2,10,2,13,2,17,2,20,2,0.543114,0.08593700000000004,0.5809419306563025,0.2586473009118881,-2321.705000002745
105,counter,4,1.0,S17,"[6, 5]",1,1,1,1,2,2,6,2,10,2,13,2,17,2,20,2,0.543114,0.08593700000000004,0.5809419306563025,0.2586473009118881,-2321.705000002745
106,counter,4,1.0,H17,"[3, 2]",1,1,1,1,2,2,6,2,10,2,13,2,17,2,20,2,0.542485,0.08127170000000002,0.5800572585713288,0.24639480483206475,-3423.3099999993988
107,counter,4,1.0,H17,"[6, 5]",1,1,1,1,2,2,6,2,10,2,13,2,17,2,20,2,0.542485,0.08127170000000002,0.5800572585713288,0.24639480483206475,-3423.3099999993988
108,counter,4,1.5,S17,"[3, 2]",1,1,1,1,2,2,6,2,10,2,13,2,17,2,20,2,0.540417,0.050757300000000005,0.5796321009466885,0.1832963679992983,-2893.4099999992786
109,counter,4,1.5,S17,"[6, 5]",1,1,1,1,2,2,6,2,10,2,13,2,17,2,20,2,0.540417,0.050757300000000005,0.5796321009466885,0.1832963679992983,-2893.4099999992786
110,counter,4,1.5,H17,"[3, 2]",1,1,1,1,2,2,6,2,10,2,13,2,17,2,20,2,0.539286,0.054604699999999985,0.5784997320614347,0.1979558324428163,-2925.9149999987817
111,counter,4,1.5,H17,"[6, 5]",1,1,1,1,2,2,6,2,10,2,13,2,17,2,20,2,0.539286,0.054604699999999985,0.5784997320614347,0.1979558324428163,-2925.9149999987817
112,counter,4,2.0,S17,"[3, 2]",1,1,1,1,2,2,6,2,10,2,13,2,17,2,20,2,0.53715,0.014820500000000009,0.5785830088444335,0.08508714155436216,-2976.9099999999917
113,counter,4,2.0,S17,"[6, 5]",1,1,1,1,2,2,6,2,10,2,13,2,17,2,20,2,0.53715,0.014820500000000009,0.5785830088444335,0.08508714155436216,-2976.9099999999917
114,counter,4,2.0,H17,"[3, 2]",1,1,1,1,2,2,6,2,10,2,13,2,17,2,20,2,0.535698,0.01386320000000001,0.5768640188452242,0.08607310472900961,-3179.705000000247
115,counter,4,2.0,H17,"[6, 5]",1,1,1,1,2,2,6,2,10,2,13,2,17,2,20,2,0.535698,0.01386320000000001,0.5768640188452242,0.08607310472900961,-3179.705000000247
116,counter,6,0.5,S17,"[3, 2]",1,1,1,1,2,2,6,2,10,2,13,2,17,2,20,2,0.541609,0.08994319999999995,0.5818716165813353,0.29546281122957974,-2320.7999999998697
117,counter,6,0.5,S17,"[6, 5]",1,1,1,1,2,2,6,2,10,2,13,2,17,2,20,2,0.541609,0.08994319999999995,0.5818716165813353,0.29546281122957974,-2320.7999999998697
118,counter,6,0.5,H17,"[3, 2]",1,1,1,1,2,2,6,2,10,2,13,2,17,2,20,2,0.540622,0.09942069999999996,0.5802443582521155,0.32510656551566913,-2473.6050000037994
119,counter,6,0.5,H17,"[6, 5]",1,1,1,1,2,2,6,2,10,2,13,2,17,2,20,2,0.540622,0.09942069999999996,0.5802443582521155,0.32510656551566913,-2473.6050000037994
120,counter,6,1.0,S17,"[3, 2]",1,1,1,1,2,2,6,2,10,2,13,2,17,2,20,2,0.541051,0.0893397,0.5815950029511374,0.3050368182004691,-2142.7000000009357
121,counter,6,1.0,S17,"[6, 5]",1,1,1,1,2,2,6,2,10,2,13,2,17,2,20,2,0.541051,0.0893397,0.5815950029511374,0.3050368182004691,-2142.7000000009357
122,counter,6,1.0,H17,"[3, 2]",1,1,1,1,2,2,6,2,10,2,13,2,17,2,20,2,0.539936,0.08019280000000002,0.5794812519935448,0.2769595164331259,-2322.415000003048
123,counter,6,1.0,H17,"[6, 5]",1,1,1,1,2,2,6,2,10,2,13,2,17,2,20,2,0.539936,0.08019280000000002,0.5794812519935448,0.2769595164331259,-2322.415000003048
124,counter,6,1.5,S17,"[3, 2]",1,1,1,1,2,2,6,2,10,2,13,2,17,2,20,2,0.539176,0.052073600000000025,0.5794017832246305,0.2004685895386876,-2307.999999998743
125,counter,6,1.5,S17,"[6, 5]",1,1,1,1,2,2,6,2,10,2,13,2,17,2,20,2,0.539176,0.052073600000000025,0.5794017832246305,0.2004685895386876,-2307.999999998743
126,counter,6,1.5,H17,"[3, 2]",1,1,1,1,2,2,6,2,10,2,13,2,17,2,20,2,0.537576,0.05645229999999999,0.5778422419927614,0.22242299193402856,-2155.1099999994008
127,counter,6,1.5,H17,"[6, 5]",1,1,1,1,2,2,6,2,10,2,13,2,17,2,20,2,0.537576,0.05645229999999999,0.5778422419927614,0.22242299193402856,-2155.1099999994008
