,strategy,decks,penetration,seventeen,BJ_payout,-1_count_bet,-1_count_spot,0_count_bet,0_count_spot,1_count_bet,1_count_spot,2_count_bet,2_count_spot,3_count_bet,3_count_spot,4_count_bet,4_count_spot,5_count_bet,5_count_spot,6_count_bet,6_count_spot,probability_of_winning,expected_value,prob_of_winning_on_pos_count,expected_value_on_pos_count,fifth_percentile_loss
54,cc,2,1.5,H17,"[3, 2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.506134,-0.07466300000000005,0.505240245455598,-0.07458700937825634,-4095.6100000065694
55,cc,2,1.5,H17,"[6, 5]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.506134,-0.07466300000000005,0.505240245455598,-0.07458700937825634,-4095.6100000065694
56,cc,4,0.5,S17,"[3, 2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.508849,-0.0708882,0.5090595644372515,-0.0690010437556439,-3903.4000000064734
57,cc,4,0.5,S17,"[6, 5]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.508849,-0.0708882,0.5090595644372515,-0.0690010437556439,-3903.4000000064734
58,cc,4,0.5,H17,"[3, 2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.505754,-0.07638179999999999,0.5066641913534954,-0.07273177329667511,-4146.599999998756
59,cc,4,0.5,H17,"[6, 5]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.505754,-0.07638179999999999,0.5066641913534954,-0.07273177329667511,-4146.599999998756
60,cc,4,1.0,S17,"[3, 2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5087520000000001,-0.07131739999999998,0.5098906552927491,-0.0673997673516867,-3988.600000002078
61,cc,4,1.0,S17,"[6, 5]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5087520000000001,-0.07131739999999998,0.5098906552927491,-0.0673997673516867,-3988.600000002078
62,cc,4,1.0,H17,"[3, 2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.506826,-0.07465699999999999,0.5079605007386673,-0.0710545058704611,-4129.600000006563
63,cc,4,1.0,H17,"[6, 5]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.506826,-0.07465699999999999,0.5079605007386673,-0.0710545058704611,-4129.600000006563
64,cc,4,1.5,S17,"[3, 2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.509898,-0.06879620000000003,0.5101226972990262,-0.0667587633636617,-3707.400000006536
65,cc,4,1.5,S17,"[6, 5]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.509898,-0.06879620000000003,0.5101226972990262,-0.0667587633636617,-3707.400000006536
66,cc,4,1.5,H17,"[3, 2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.506678,-0.07433979999999993,0.5057284032904737,-0.07523268981605859,-4072.8000000002917
67,cc,4,1.5,H17,"[6, 5]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.506678,-0.07433979999999993,0.5057284032904737,-0.07523268981605859,-4072.8000000002917
68,cc,4,2.0,S17,"[3, 2]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.509886,-0.0686046,0.5097751764936714,-0.06753515990863422,-3838.800000000709
